,,,,,,
,,Kauf,Verkauf,Gewinn,,
,,,,,,
,,"27.693,88 €","40.389,00 €","12.695,12 €",,
,,,,,,
,,,,,,
Canon G1XIII + Unterwassergehäuse,,"500,00 €","550,00 €","50,00 €",,
DJI Air 2s,,"320,00 €",,,,
+3 Akkus',,"70,00 €",,,,
Ricoh GR III,,"700,00 €","700,00 €","0,00 €",,
DJI Pocket 3,,"400,00 €",,,,
Olympus E-M1 II + 12-40mm 2.8 Pro,,"710,00 €","320,00 €",,,
DJI Mavic Mini 2,,"200,00 €","200,00 €","0,00 €",,
Meike 50mm F0.95,,"100,00 €","150,00 €",,,
Olympus 40-150mm F2.8 Pro,,"600,00 €","600,00 €",,,
,,"3.600,00 €","2.520,00 €","-1.080,00 €",,
,,,,,,
,,,,,,
,,,,,,
Camera gear:,,,,,,
Olympus E-M1 II + 12-40mm 2.8 Pro,,"710,00 €","320,00 €",,,
Meike 50mm F0.95,,"100,00 €","150,00 €",,,
Olympus 40-150mm F2.8 Pro,,"600,00 €","600,00 €",,,
Olympus 12-100m F4 IS ,,"590,00 €",,,,
Lowepro Fastpack BP 250 AW II,,"25,00 €",,,,
Sigma 16mm 1.4 DN,,"160,00 €","170,00 €",,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
2025:,,,,,,
,,,,,,
MSI Claw,,"215,65 €",,,,
Nintendo Switch Set,,"187,49 €",,,,
Smash Bros,,,30,,,
RingFit Adventure,,,30,,,
Mario 3D World + Bowsers Fury,,,28,,,
Switch Sports,,,,,,
Pokemon Shield,,,20,,,
Pro Controller,,,,,,
Mario Odyssey,,35,,,,
Hori Split Pad,,"20,00 €","20,00 €",,,
AYN Odin 2 Portal + Case + Grip + Buttons,,"300,00 €","220,00 €",,,
XReal One,,"400,00 €",,,,
Sony Vinyl Player,,"185,00 €",,,,
